Velocidad;Angulo;Distancia(x);Distancia(y);;Angulo en radianes;Tiempo de vuelo;Tiempo maximo
5;10;5,019407508;0,885056971;;0,174532925;0,509683996;1,019367992
5;20;4,789462899;1,743221933;;0,34906585;0,509683996;1,019367992
5;30;4,413992884;2,54841998;;0,523598776;0,509683996;1,019367992
5;40;3,904405928;3,276185574;;0,698131701;0,509683996;1,019367992
5;50;3,276185574;3,904405928;;0,872664626;0,509683996;1,019367992
5;60;2,54841998;4,413992884;;1,047197551;0,509683996;1,019367992
10;10;20,07763003;3,540227883;;0,174532925;1,019367992;2,038735984
10;20;19,1578516;6,972887733;;0,34906585;1,019367992;2,038735984
10;30;17,65597153;10,19367992;;0,523598776;1,019367992;2,038735984
10;40;15,61762371;13,1047423;;0,698131701;1,019367992;2,038735984
10;50;13,1047423;15,61762371;;0,872664626;1,019367992;2,038735984
10;60;10,19367992;17,65597153;;1,047197551;1,019367992;2,038735984
15;10;45,17466757;7,965512737;;0,174532925;1,529051988;3,058103976
15;20;43,10516609;15,6889974;;0,34906585;1,529051988;3,058103976
15;30;39,72593595;22,93577982;;0,523598776;1,529051988;3,058103976
15;40;35,13965335;29,48567017;;0,698131701;1,529051988;3,058103976
15;50;29,48567017;35,13965335;;0,872664626;1,529051988;3,058103976
15;60;22,93577982;39,72593595;;1,047197551;1,529051988;3,058103976
20;10;80,31052012;14,16091153;;0,174532925;2,038735984;4,077471967
20;20;76,63140638;27,89155093;;0,34906585;2,038735984;4,077471967
20;30;70,62388614;40,77471967;;0,523598776;2,038735984;4,077471967
20;40;62,47049485;52,41896919;;0,698131701;2,038735984;4,077471967
20;50;52,41896919;62,47049485;;0,872664626;2,038735984;4,077471967
20;60;40,77471967;70,62388614;;1,047197551;2,038735984;4,077471967
25;10;125,4851877;22,12642427;;0,174532925;2,54841998;5,096839959
25;20;119,7365725;43,58054833;;0,34906585;2,54841998;5,096839959
25;30;110,3498221;63,71049949;;0,523598776;2,54841998;5,096839959
25;40;97,61014821;81,90463936;;0,698131701;2,54841998;5,096839959
25;50;81,90463936;97,61014821;;0,872664626;2,54841998;5,096839959
25;60;63,71049949;110,3498221;;1,047197551;2,54841998;5,096839959
30;10;180,6986703;31,86205095;;0,174532925;3,058103976;6,116207951
30;20;172,4206644;62,7559896;;0,34906585;3,058103976;6,116207951
30;30;158,9037438;91,74311927;;0,523598776;3,058103976;6,116207951
30;40;140,5586134;117,9426807;;0,698131701;3,058103976;6,116207951
30;50;117,9426807;140,5586134;;0,872664626;3,058103976;6,116207951
30;60;91,74311927;158,9037438;;1,047197551;3,058103976;6,116207951
