angulo;Velocidad0;AlcanceMax;Tiempo maximo;Tiempo de Vuelo;Altura maxima
24;5;5,1;0,51;1,02;1,04
24;10;20,41;1,02;2,04;4,18
24;15;45,92;1,53;3,06;9,4
24;20;81,63;2,04;4,08;16,72
24;25;127,55;2,55;5,1;26,12
24;30;183,67;3,06;6,12;37,62
25;5;5,1;0,51;1,02;0,02
25;10;20,41;1,02;2,04;0,09
25;15;45,92;1,53;3,06;0,2
25;20;81,63;2,04;4,08;0,36
25;25;127,55;2,55;5,1;0,56
25;30;183,67;3,06;6,12;0,8
26;5;5,1;0,51;1,02;0,74
26;10;20,41;1,02;2,04;2,96
26;15;45,92;1,53;3,06;6,67
26;20;81,63;2,04;4,08;11,86
26;25;127,55;2,55;5,1;18,52
26;30;183,67;3,06;6,12;26,67
27;5;5,1;0,51;1,02;1,17
27;10;20,41;1,02;2,04;4,66
27;15;45,92;1,53;3,06;10,49
27;20;81,63;2,04;4,08;18,65
27;25;127,55;2,55;5,1;29,14
27;30;183,67;3,06;6,12;41,96
28;5;5,1;0,51;1,02;0,09
28;10;20,41;1,02;2,04;0,37
28;15;45,92;1,53;3,06;0,84
28;20;81,63;2,04;4,08;1,5
28;25;127,55;2,55;5,1;2,34
28;30;183,67;3,06;6,12;3,37
29;5;5,1;0,51;1,02;0,56
29;10;20,41;1,02;2,04;2,24
29;15;45,92;1,53;3,06;5,05
29;20;81,63;2,04;4,08;8,98
29;25;127,55;2,55;5,1;14,03
29;30;183,67;3,06;6,12;20,2
30;5;5,1;0,51;1,02;1,24
30;10;20,41;1,02;2,04;4,98
30;15;45,92;1,53;3,06;11,2
30;20;81,63;2,04;4,08;19,9
30;25;127,55;2,55;5,1;31,1
30;30;183,67;3,06;6,12;44,78
31;5;5,1;0,51;1,02;0,21
31;10;20,41;1,02;2,04;0,83
31;15;45,92;1,53;3,06;1,87
31;20;81,63;2,04;4,08;3,33
31;25;127,55;2,55;5,1;5,2
31;30;183,67;3,06;6,12;7,49
32;5;5,1;0,51;1,02;0,39
32;10;20,41;1,02;2,04;1,55
32;15;45,92;1,53;3,06;3,49
32;20;81,63;2,04;4,08;6,2
32;25;127,55;2,55;5,1;9,69
32;30;183,67;3,06;6,12;13,95
33;5;5,1;0,51;1,02;1,27
33;10;20,41;1,02;2,04;5,1
33;15;45,92;1,53;3,06;11,47
33;20;81,63;2,04;4,08;20,38
33;25;127,55;2,55;5,1;31,85
33;30;183,67;3,06;6,12;45,86
34;5;5,1;0,51;1,02;0,36
34;10;20,41;1,02;2,04;1,43
34;15;45,92;1,53;3,06;3,21
34;20;81,63;2,04;4,08;5,71
34;25;127,55;2,55;5,1;8,92
34;30;183,67;3,06;6,12;12,84
35;5;5,1;0,51;1,02;0,23
35;10;20,41;1,02;2,04;0,93
35;15;45,92;1,53;3,06;2,1
35;20;81,63;2,04;4,08;3,74
35;25;127,55;2,55;5,1;5,84
35;30;183,67;3,06;6,12;8,41
36;5;5,1;0,51;1,02;1,25
36;10;20,41;1,02;2,04;5,01
36;15;45,92;1,53;3,06;11,28
36;20;81,63;2,04;4,08;20,05
36;25;127,55;2,55;5,1;31,33
36;30;183,67;3,06;6,12;45,12
37;5;5,1;0,51;1,02;0,53
37;10;20,41;1,02;2,04;2,11
37;15;45,92;1,53;3,06;4,75
37;20;81,63;2,04;4,08;8,44
37;25;127,55;2,55;5,1;13,19
37;30;183,67;3,06;6,12;19
38;5;5,1;0,51;1,02;0,11
38;10;20,41;1,02;2,04;0,45
38;15;45,92;1,53;3,06;1,01
38;20;81,63;2,04;4,08;1,79
38;25;127,55;2,55;5,1;2,8
38;30;183,67;3,06;6,12;4,03
39;5;5,1;0,51;1,02;1,18
39;10;20,41;1,02;2,04;4,73
39;15;45,92;1,53;3,06;10,65
39;20;81,63;2,04;4,08;18,94
39;25;127,55;2,55;5,1;29,59
39;30;183,67;3,06;6,12;42,61
40;5;5,1;0,51;1,02;0,71
40;10;20,41;1,02;2,04;2,83
40;15;45,92;1,53;3,06;6,37
40;20;81,63;2,04;4,08;11,32
40;25;127,55;2,55;5,1;17,69
40;30;183,67;3,06;6,12;25,47
41;5;5,1;0,51;1,02;0,03
41;10;20,41;1,02;2,04;0,13
41;15;45,92;1,53;3,06;0,29
41;20;81,63;2,04;4,08;0,51
41;25;127,55;2,55;5,1;0,8
41;30;183,67;3,06;6,12;1,15
42;5;5,1;0,51;1,02;1,07
42;10;20,41;1,02;2,04;4,28
42;15;45,92;1,53;3,06;9,63
42;20;81,63;2,04;4,08;17,13
42;25;127,55;2,55;5,1;26,76
42;30;183,67;3,06;6,12;38,53
43;5;5,1;0,51;1,02;0,88
43;10;20,41;1,02;2,04;3,53
43;15;45,92;1,53;3,06;7,93
43;20;81,63;2,04;4,08;14,1
43;25;127,55;2,55;5,1;22,04
43;30;183,67;3,06;6,12;31,74
44;5;5,1;0,51;1,02;0
44;10;20,41;1,02;2,04;0
44;15;45,92;1,53;3,06;0
44;20;81,63;2,04;4,08;0,01
44;25;127,55;2,55;5,1;0,01
44;30;183,67;3,06;6,12;0,01
45;5;5,1;0,51;1,02;0,92
45;10;20,41;1,02;2,04;3,69
45;15;45,92;1,53;3,06;8,3
45;20;81,63;2,04;4,08;14,76
45;25;127,55;2,55;5,1;23,06
45;30;183,67;3,06;6,12;33,21
46;5;5,1;0,51;1,02;1,04
46;10;20,41;1,02;2,04;4,14
46;15;45,92;1,53;3,06;9,33
46;20;81,63;2,04;4,08;16,58
46;25;127,55;2,55;5,1;25,91
46;30;183,67;3,06;6,12;37,3
47;5;5,1;0,51;1,02;0,02
47;10;20,41;1,02;2,04;0,08
47;15;45,92;1,53;3,06;0,18
47;20;81,63;2,04;4,08;0,31
47;25;127,55;2,55;5,1;0,49
47;30;183,67;3,06;6,12;0,7
48;5;5,1;0,51;1,02;0,75
48;10;20,41;1,02;2,04;3,01
48;15;45,92;1,53;3,06;6,77
48;20;81,63;2,04;4,08;12,03
48;25;127,55;2,55;5,1;18,8
48;30;183,67;3,06;6,12;27,07
49;5;5,1;0,51;1,02;1,16
49;10;20,41;1,02;2,04;4,64
49;15;45,92;1,53;3,06;10,43
49;20;81,63;2,04;4,08;18,55
49;25;127,55;2,55;5,1;28,98
49;30;183,67;3,06;6,12;41,73
50;5;5,1;0,51;1,02;0,09
50;10;20,41;1,02;2,04;0,35
50;15;45,92;1,53;3,06;0,79
50;20;81,63;2,04;4,08;1,4
50;25;127,55;2,55;5,1;2,19
50;30;183,67;3,06;6,12;3,16
51;5;5,1;0,51;1,02;0,57
51;10;20,41;1,02;2,04;2,29
51;15;45,92;1,53;3,06;5,15
51;20;81,63;2,04;4,08;9,16
51;25;127,55;2,55;5,1;14,31
51;30;183,67;3,06;6,12;20,61
52;5;5,1;0,51;1,02;1,24
52;10;20,41;1,02;2,04;4,96
52;15;45,92;1,53;3,06;11,16
52;20;81,63;2,04;4,08;19,85
52;25;127,55;2,55;5,1;31,01
52;30;183,67;3,06;6,12;44,65
53;5;5,1;0,51;1,02;0,2
53;10;20,41;1,02;2,04;0,8
53;15;45,92;1,53;3,06;1,8
53;20;81,63;2,04;4,08;3,2
53;25;127,55;2,55;5,1;4,99
53;30;183,67;3,06;6,12;7,19
54;5;5,1;0,51;1,02;0,4
54;10;20,41;1,02;2,04;1,59
54;15;45,92;1,53;3,06;3,58
54;20;81,63;2,04;4,08;6,37
54;25;127,55;2,55;5,1;9,95
54;30;183,67;3,06;6,12;14,32
55;5;5,1;0,51;1,02;1,27
55;10;20,41;1,02;2,04;5,09
55;15;45,92;1,53;3,06;11,46
55;20;81,63;2,04;4,08;20,38
55;25;127,55;2,55;5,1;31,84
55;30;183,67;3,06;6,12;45,85
56;5;5,1;0,51;1,02;0,35
56;10;20,41;1,02;2,04;1,39
56;15;45,92;1,53;3,06;3,12
56;20;81,63;2,04;4,08;5,55
56;25;127,55;2,55;5,1;8,67
56;30;183,67;3,06;6,12;12,48
57;5;5,1;0,51;1,02;0,24
57;10;20,41;1,02;2,04;0,97
57;15;45,92;1,53;3,06;2,18
57;20;81,63;2,04;4,08;3,88
57;25;127,55;2,55;5,1;6,06
57;30;183,67;3,06;6,12;8,73
58;5;5,1;0,51;1,02;1,26
58;10;20,41;1,02;2,04;5,02
58;15;45,92;1,53;3,06;11,31
58;20;81,63;2,04;4,08;20,1
58;25;127,55;2,55;5,1;31,4
58;30;183,67;3,06;6,12;45,22
59;5;5,1;0,51;1,02;0,52
59;10;20,41;1,02;2,04;2,07
59;15;45,92;1,53;3,06;4,65
59;20;81,63;2,04;4,08;8,27
59;25;127,55;2,55;5,1;12,92
59;30;183,67;3,06;6,12;18,6
60;5;5,1;0,51;1,02;0,12
60;10;20,41;1,02;2,04;0,47
60;15;45,92;1,53;3,06;1,07
60;20;81,63;2,04;4,08;1,89
60;25;127,55;2,55;5,1;2,96
60;30;183,67;3,06;6,12;4,26
61;5;5,1;0,51;1,02;1,19
61;10;20,41;1,02;2,04;4,76
61;15;45,92;1,53;3,06;10,7
61;20;81,63;2,04;4,08;19,03
61;25;127,55;2,55;5,1;29,73
61;30;183,67;3,06;6,12;42,82
62;5;5,1;0,51;1,02;0,7
62;10;20,41;1,02;2,04;2,78
62;15;45,92;1,53;3,06;6,27
62;20;81,63;2,04;4,08;11,14
62;25;127,55;2,55;5,1;17,41
62;30;183,67;3,06;6,12;25,06
63;5;5,1;0,51;1,02;0,04
63;10;20,41;1,02;2,04;0,14
63;15;45,92;1,53;3,06;0,32
63;20;81,63;2,04;4,08;0,57
63;25;127,55;2,55;5,1;0,89
63;30;183,67;3,06;6,12;1,28
64;5;5,1;0,51;1,02;1,08
64;10;20,41;1,02;2,04;4,31
64;15;45,92;1,53;3,06;9,71
64;20;81,63;2,04;4,08;17,26
64;25;127,55;2,55;5,1;26,96
64;30;183,67;3,06;6,12;38,83
65;5;5,1;0,51;1,02;0,87
65;10;20,41;1,02;2,04;3,48
65;15;45,92;1,53;3,06;7,84
65;20;81,63;2,04;4,08;13,94
65;25;127,55;2,55;5,1;21,78
65;30;183,67;3,06;6,12;31,36
66;5;5,1;0,51;1,02;0
66;10;20,41;1,02;2,04;0
66;15;45,92;1,53;3,06;0,01
66;20;81,63;2,04;4,08;0,01
66;25;127,55;2,55;5,1;0,02
66;30;183,67;3,06;6,12;0,03
67;5;5,1;0,51;1,02;0,93
67;10;20,41;1,02;2,04;3,73
67;15;45,92;1,53;3,06;8,39
67;20;81,63;2,04;4,08;14,92
67;25;127,55;2,55;5,1;23,32
67;30;183,67;3,06;6,12;33,57
68;5;5,1;0,51;1,02;1,03
68;10;20,41;1,02;2,04;4,11
68;15;45,92;1,53;3,06;9,25
68;20;81,63;2,04;4,08;16,44
68;25;127,55;2,55;5,1;25,68
68;30;183,67;3,06;6,12;36,99
69;5;5,1;0,51;1,02;0,02
69;10;20,41;1,02;2,04;0,07
69;15;45,92;1,53;3,06;0,15
69;20;81,63;2,04;4,08;0,27
69;25;127,55;2,55;5,1;0,42
69;30;183,67;3,06;6,12;0,6
70;5;5,1;0,51;1,02;0,76
70;10;20,41;1,02;2,04;3,05
70;15;45,92;1,53;3,06;6,87
70;20;81,63;2,04;4,08;12,21
70;25;127,55;2,55;5,1;19,08
70;30;183,67;3,06;6,12;27,47
71;5;5,1;0,51;1,02;1,15
71;10;20,41;1,02;2,04;4,61
71;15;45,92;1,53;3,06;10,37
71;20;81,63;2,04;4,08;18,44
71;25;127,55;2,55;5,1;28,81
71;30;183,67;3,06;6,12;41,49
72;5;5,1;0,51;1,02;0,08
72;10;20,41;1,02;2,04;0,33
72;15;45,92;1,53;3,06;0,74
72;20;81,63;2,04;4,08;1,31
72;25;127,55;2,55;5,1;2,05
72;30;183,67;3,06;6,12;2,96
73;5;5,1;0,51;1,02;0,58
73;10;20,41;1,02;2,04;2,33
73;15;45,92;1,53;3,06;5,25
73;20;81,63;2,04;4,08;9,34
73;25;127,55;2,55;5,1;14,59
73;30;183,67;3,06;6,12;21,01
74;5;5,1;0,51;1,02;1,24
74;10;20,41;1,02;2,04;4,95
74;15;45,92;1,53;3,06;11,13
74;20;81,63;2,04;4,08;19,79
74;25;127,55;2,55;5,1;30,92
74;30;183,67;3,06;6,12;44,52
75;5;5,1;0,51;1,02;0,19
75;10;20,41;1,02;2,04;0,77
75;15;45,92;1,53;3,06;1,72
75;20;81,63;2,04;4,08;3,07
75;25;127,55;2,55;5,1;4,79
75;30;183,67;3,06;6,12;6,9
76;5;5,1;0,51;1,02;0,41
76;10;20,41;1,02;2,04;1,63
76;15;45,92;1,53;3,06;3,68
76;20;81,63;2,04;4,08;6,53
76;25;127,55;2,55;5,1;10,21
76;30;183,67;3,06;6,12;14,7
77;5;5,1;0,51;1,02;1,27
77;10;20,41;1,02;2,04;5,09
77;15;45,92;1,53;3,06;11,46
77;20;81,63;2,04;4,08;20,37
77;25;127,55;2,55;5,1;31,82
77;30;183,67;3,06;6,12;45,83
78;5;5,1;0,51;1,02;0,34
78;10;20,41;1,02;2,04;1,35
78;15;45,92;1,53;3,06;3,03
78;20;81,63;2,04;4,08;5,39
78;25;127,55;2,55;5,1;8,42
78;30;183,67;3,06;6,12;12,12
79;5;5,1;0,51;1,02;0,25
79;10;20,41;1,02;2,04;1,01
79;15;45,92;1,53;3,06;2,26
79;20;81,63;2,04;4,08;4,02
79;25;127,55;2,55;5,1;6,28
79;30;183,67;3,06;6,12;9,05
80;5;5,1;0,51;1,02;1,26
80;10;20,41;1,02;2,04;5,03
80;15;45,92;1,53;3,06;11,33
80;20;81,63;2,04;4,08;20,14
80;25;127,55;2,55;5,1;31,47
80;30;183,67;3,06;6,12;45,31
81;5;5,1;0,51;1,02;0,51
81;10;20,41;1,02;2,04;2,02
81;15;45,92;1,53;3,06;4,55
81;20;81,63;2,04;4,08;8,09
81;25;127,55;2,55;5,1;12,64
81;30;183,67;3,06;6,12;18,2
82;5;5,1;0,51;1,02;0,13
82;10;20,41;1,02;2,04;0,5
82;15;45,92;1,53;3,06;1,13
82;20;81,63;2,04;4,08;2
82;25;127,55;2,55;5,1;3,13
82;30;183,67;3,06;6,12;4,5
83;5;5,1;0,51;1,02;1,19
83;10;20,41;1,02;2,04;4,78
83;15;45,92;1,53;3,06;10,75
83;20;81,63;2,04;4,08;19,12
83;25;127,55;2,55;5,1;29,87
83;30;183,67;3,06;6,12;43,02
84;5;5,1;0,51;1,02;0,68
84;10;20,41;1,02;2,04;2,74
84;15;45,92;1,53;3,06;6,16
84;20;81,63;2,04;4,08;10,96
84;25;127,55;2,55;5,1;17,12
84;30;183,67;3,06;6,12;24,66
85;5;5,1;0,51;1,02;0,04
85;10;20,41;1,02;2,04;0,16
85;15;45,92;1,53;3,06;0,36
85;20;81,63;2,04;4,08;0,63
85;25;127,55;2,55;5,1;0,99
85;30;183,67;3,06;6,12;1,42
86;5;5,1;0,51;1,02;1,09
86;10;20,41;1,02;2,04;4,35
86;15;45,92;1,53;3,06;9,78
86;20;81,63;2,04;4,08;17,39
86;25;127,55;2,55;5,1;27,17
86;30;183,67;3,06;6,12;39,12
87;5;5,1;0,51;1,02;0,86
87;10;20,41;1,02;2,04;3,44
87;15;45,92;1,53;3,06;7,75
87;20;81,63;2,04;4,08;13,77
87;25;127,55;2,55;5,1;21,51
87;30;183,67;3,06;6,12;30,98
88;5;5,1;0,51;1,02;0
88;10;20,41;1,02;2,04;0,01
88;15;45,92;1,53;3,06;0,01
88;20;81,63;2,04;4,08;0,03
88;25;127,55;2,55;5,1;0,04
88;30;183,67;3,06;6,12;0,06
89;5;5,1;0,51;1,02;0,94
89;10;20,41;1,02;2,04;3,77
89;15;45,92;1,53;3,06;8,48
89;20;81,63;2,04;4,08;15,08
89;25;127,55;2,55;5,1;23,56
89;30;183,67;3,06;6,12;33,93
